50	0	0,16	0	0,32	0	0	0	0	0	0,48	0,48	0,16	0,48	0,16	0	0,16	0,32	0,48	0,32	0,64	0,48	0,32	0	0,32	0,32	0,16	0,64	0,48	0,32	0,48	0,16	0	0	0,48	0,32	0	0,32	0	0,32	0,32	0,32	0	0,16	0,16	0,32	0,32	0,16	0,16	0,16	0	0,2272
100	0	0,32	0,32	0,16	0,24	0,16	0,08	0,24	0,08	0,4	0,08	0,32	0,32	0,16	0,08	0,24	0,24	0,08	0,48	0,24	0,24	0,16	0,32	0,16	0,08	0	0,24	0,24	0,16	0,08	0,32	0,08	0,4	0,08	0,08	0,08	0,08	0,24	0	0,32	0	0,16	0,08	0,16	0,08	0,08	0,16	0,32	0,08	0,16	0,1776
150	0,373333333	0,213333333	0,32	0,213333333	0,16	0,053333333	0,16	0,16	0,32	0,213333333	0	0,213333333	0,213333333	0,32	0,16	0,266666667	0,266666667	0,213333333	0,32	0,106666667	0,213333333	0,213333333	0,16	0,266666667	0,106666667	0,32	0,426666667	0,213333333	0,32	0,106666667	0,426666667	0,213333333	0,213333333	0,213333333	0,16	0,373333333	0,266666667	0,373333333	0,16	0,16	0,213333333	0,16	0,16	0,213333333	0,266666667	0,32	0,213333333	0,16	0,213333333	0,266666667	0,2272
200	0,16	0,08	0,24	0,2	0,2	0,2	0,2	0,36	0,12	0,24	0,16	0,24	0,32	0,36	0,24	0,24	0,28	0,28	0,2	0,2	0,2	0,2	0,32	0,16	0,08	0,24	0,2	0,08	0,12	0,2	0,24	0,08	0,24	0,2	0,28	0,08	0,16	0,04	0,32	0,16	0,2	0,12	0,24	0,04	0,28	0,32	0,32	0,32	0,12	0,28	0,2072
250	0,192	0,16	0,128	0,192	0,288	0,16	0,096	0,256	0,256	0,256	0,16	0,224	0,128	0,288	0,256	0,128	0,16	0,096	0,16	0,096	0,128	0,224	0,192	0,192	0,224	0,32	0,192	0,256	0,224	0,256	0,128	0,16	0,192	0,256	0,224	0,224	0,192	0,224	0,384	0,192	0,192	0,16	0,224	0,16	0,256	0,288	0,16	0,416	0,256	0,192	0,20736
300	0,16	0	0,133333333	0,106666667	0,186666667	0,213333333	0,186666667	0,053333333	0,16	0,186666667	0,08	0,266666667	0,16	0,266666667	0,426666667	0,213333333	0,213333333	0,106666667	0,213333333	0,186666667	0,16	0,213333333	0,186666667	0,266666667	0,16	0,266666667	0,16	0,213333333	0,213333333	0,133333333	0,24	0,213333333	0,293333333	0,213333333	0,24	0,213333333	0,32	0,213333333	0,24	0,106666667	0,16	0,266666667	0,213333333	0,266666667	0,4	0,266666667	0,08	0,08	0,133333333	0,16	0,196266667
350	0,205714286	0,251428571	0,091428571	0,16	0,205714286	0,228571429	0,182857143	0,182857143	0,274285714	0,114285714	0,342857143	0,205714286	0,16	0,205714286	0,297142857	0,182857143	0,182857143	0,16	0,205714286	0,228571429	0,251428571	0,114285714	0,205714286	0,205714286	0,205714286	0,16	0,274285714	0,137142857	0,16	0,342857143	0,182857143	0,228571429	0,297142857	0,251428571	0,182857143	0,091428571	0,205714286	0,182857143	0,114285714	0,228571429	0,137142857	0,228571429	0,274285714	0,16	0,182857143	0,137142857	0,32	0,091428571	0,274285714	0,16	0,201142857
400	0,3	0,24	0,1	0,14	0,14	0,16	0,12	0,22	0,22	0,12	0,22	0,24	0,1	0,3	0,1	0,12	0,18	0,18	0,14	0,18	0,3	0,24	0,28	0,16	0,16	0,2	0,24	0,2	0,2	0,22	0,16	0,26	0,22	0,16	0,18	0,24	0,14	0,12	0,2	0,16	0,14	0,22	0,2	0,22	0,08	0,28	0,14	0,24	0,14	0,2	0,1884
450	0,16	0,106666667	0,177777778	0,231111111	0,213333333	0,231111111	0,071111111	0,284444444	0,088888889	0,195555556	0,177777778	0,142222222	0,142222222	0,124444444	0,213333333	0,177777778	0,16	0,195555556	0,213333333	0,355555556	0,32	0,213333333	0,177777778	0,142222222	0,177777778	0,124444444	0,16	0,231111111	0,124444444	0,266666667	0,213333333	0,106666667	0,213333333	0,231111111	0,302222222	0,231111111	0,213333333	0,195555556	0,266666667	0,142222222	0,16	0,124444444	0,231111111	0,142222222	0,16	0,231111111	0,195555556	0,106666667	0,124444444	0,177777778	0,187377778
500	0,16	0,176	0,176	0,288	0,208	0,24	0,24	0,128	0,272	0,192	0,304	0,16	0,208	0,288	0,192	0,128	0,24	0,256	0,176	0,24	0,24	0,144	0,08	0,208	0,144	0,304	0,24	0,16	0,304	0,208	0,16	0,16	0,192	0,256	0,112	0,336	0,192	0,24	0,192	0,208	0,144	0,176	0,192	0,144	0,176	0,176	0,144	0,208	0,176	0,24	0,20256
550	0,174545455	0,203636364	0,130909091	0,218181818	0,16	0,174545455	0,290909091	0,203636364	0,16	0,203636364	0,189090909	0,218181818	0,189090909	0,276363636	0,145454545	0,203636364	0,203636364	0,174545455	0,16	0,203636364	0,232727273	0,276363636	0,174545455	0,174545455	0,189090909	0,203636364	0,247272727	0,174545455	0,247272727	0,232727273	0,101818182	0,101818182	0,32	0,218181818	0,261818182	0,145454545	0,189090909	0,174545455	0,16	0,232727273	0,218181818	0,145454545	0,218181818	0,145454545	0,16	0,174545455	0,218181818	0,174545455	0,334545455	0,101818182	0,196654545
