50	1,947787445	1,696460033	2,387610417	1,822123739	2,073451151	2,073451151	1,822123739	1,884955592	2,136283004	1,759291886	2,261946711	1,63362818	2,136283004	2,010619298	2,010619298	1,947787445	2,387610417	2,136283004	2,010619298	1,759291886	2,010619298	1,570796327	1,947787445	1,759291886	2,010619298	2,073451151	2,387610417	1,947787445	1,884955592	2,010619298	2,136283004	1,884955592	1,822123739	2,073451151	2,261946711	1,63362818	2,010619298	1,884955592	2,073451151	2,261946711	1,884955592	2,199114858	1,822123739	2,199114858	2,324778564	1,696460033	2,324778564	2,387610417	1,884955592	2,45044227	2,014389209
100	1,979203372	2,104867078	2,010619298	2,199114858	2,010619298	2,042035225	1,979203372	1,979203372	1,822123739	1,853539666	2,104867078	2,010619298	2,042035225	2,167698931	2,010619298	1,916371519	2,042035225	1,947787445	1,947787445	2,136283004	1,853539666	2,199114858	2,010619298	1,916371519	2,073451151	2,104867078	2,010619298	1,63362818	1,790707813	1,853539666	2,199114858	2,104867078	2,136283004	1,947787445	1,665044106	1,759291886	2,073451151	2,136283004	2,073451151	1,759291886	2,136283004	1,979203372	1,884955592	2,010619298	2,042035225	1,947787445	2,073451151	2,136283004	1,947787445	2,167698931	1,998681246
150	1,822123739	2,178170906	1,905899543	2,136283004	1,84306769	2,0525072	2,199114858	1,822123739	2,073451151	1,84306769	1,947787445	1,864011641	1,947787445	2,031563249	1,717403984	1,968731396	1,864011641	1,905899543	2,115339053	1,864011641	2,136283004	1,905899543	1,905899543	1,947787445	1,989675347	1,905899543	1,926843494	2,220058809	1,926843494	2,010619298	1,947787445	2,031563249	1,905899543	1,989675347	2,094395102	1,968731396	1,884955592	2,24100276	1,947787445	1,780235837	2,031563249	2,199114858	2,010619298	1,884955592	2,010619298	2,094395102	1,84306769	1,947787445	1,947787445	1,884955592	1,972501307
200	2,104867078	1,947787445	2,104867078	1,963495408	1,994911335	2,073451151	1,979203372	1,994911335	1,837831702	1,900663555	2,167698931	1,947787445	2,167698931	2,120575041	1,869247629	1,853539666	1,869247629	1,994911335	1,853539666	2,261946711	2,042035225	1,932079482	2,026327262	2,120575041	1,916371519	2,120575041	2,010619298	2,136283004	1,806415776	1,963495408	1,994911335	2,151990968	2,073451151	2,073451151	1,994911335	1,916371519	1,774999849	1,822123739	1,916371519	2,089159115	2,026327262	2,104867078	1,900663555	1,979203372	2,151990968	2,010619298	1,932079482	1,853539666	1,774999849	2,026327262	1,993026379
250	1,947787445	1,859822851	2,136283004	1,922654704	1,960353816	2,023185669	2,060884781	2,073451151	1,935221075	2,023185669	2,060884781	2,148849375	1,859822851	1,960353816	2,098583893	1,985486557	2,161415746	1,998052928	2,010619298	2,111150263	1,972920186	2,136283004	1,960353816	2,023185669	1,972920186	2,086017522	1,998052928	1,859822851	1,985486557	2,148849375	2,123716634	2,010619298	2,023185669	2,04831841	1,859822851	1,935221075	2,086017522	2,098583893	1,859822851	1,960353816	2,211681228	2,03575204	2,148849375	2,123716634	2,03575204	1,947787445	1,998052928	1,985486557	1,998052928	2,023185669	2,019918413
300	1,979203372	2,199114858	2,136283004	1,979203372	1,916371519	1,989675347	2,042035225	2,010619298	1,916371519	1,916371519	2,073451151	1,947787445	2,031563249	1,884955592	1,979203372	2,073451151	1,958259421	1,916371519	1,968731396	1,93731547	1,958259421	2,125811029	1,947787445	2,073451151	2,073451151	2,104867078	2,042035225	2,157226955	1,93731547	2,104867078	1,916371519	2,010619298	1,958259421	2,083923127	2,073451151	2,010619298	2,000147323	1,895427568	1,790707813	1,979203372	1,989675347	2,0525072	1,884955592	2,000147323	2,000147323	1,979203372	1,958259421	2,010619298	1,968731396	2,104867078	2,000985081
350	1,920859508	1,974715382	1,99266734	2,109355067	2,001643319	2,001643319	2,028571256	2,145258983	2,001643319	1,911883529	2,118331046	2,046523214	1,99266734	1,99266734	2,001643319	2,08242713	2,154234962	2,055499193	2,001643319	1,974715382	1,99266734	2,010619298	1,858027655	2,046523214	2,046523214	1,947787445	1,956763424	2,028571256	2,163210941	2,010619298	1,947787445	2,118331046	1,965739403	2,091403109	1,99266734	1,99266734	1,893931571	1,884955592	1,938811466	2,028571256	1,983691361	2,046523214	1,920859508	1,956763424	2,019595277	2,010619298	2,037547235	2,037547235	1,974715382	1,875979613	2,00577227
400	2,01847328	1,900663555	2,089159115	2,002765317	2,01847328	1,877101611	2,01847328	2,002765317	1,892809574	1,987057353	1,994911335	1,908517537	1,916371519	1,877101611	2,010619298	2,01847328	1,963495408	2,010619298	2,042035225	1,853539666	1,916371519	1,979203372	1,9242255	1,932079482	2,026327262	1,994911335	1,994911335	1,932079482	2,026327262	2,128429023	2,01847328	1,987057353	1,987057353	2,104867078	1,979203372	1,947787445	1,955641427	2,002765317	1,9242255	1,877101611	2,057743188	1,97134939	1,963495408	1,932079482	2,042035225	2,010619298	1,955641427	2,01847328	2,002765317	1,987057353	1,979674611
450	1,933824811	2,003637981	1,905899543	2,010619298	1,808161105	1,787217154	2,003637981	2,115339053	1,954768762	2,115339053	1,933824811	1,836086373	1,864011641	2,031563249	1,891936909	1,989675347	2,045525883	1,919862177	1,940806128	2,12232037	2,066469834	2,073451151	2,031563249	2,059488517	2,024581932	2,059488517	2,171189589	1,954768762	1,898918226	2,073451151	1,968731396	1,940806128	2,080432468	1,91288086	1,870992958	2,003637981	2,031563249	1,91288086	1,919862177	2,087413785	1,905899543	1,926843494	2,066469834	1,864011641	1,926843494	2,031563249	1,996656664	2,101376419	1,975712713	1,98269403	1,98269403
500	2,016902484	1,84725648	2,04831841	2,092300707	2,016902484	2,04831841	1,94150426	2,117433449	1,954070631	1,878672407	2,060884781	2,123716634	1,884955592	2,023185669	2,004336113	2,03575204	1,935221075	1,972920186	1,94150426	1,897521963	1,991769742	2,073451151	2,016902484	2,129999819	1,960353816	2,016902484	2,054601595	1,960353816	2,004336113	2,016902484	2,067167966	1,928937889	2,092300707	2,067167966	1,972920186	1,884955592	2,010619298	1,985486557	2,03575204	2,029468854	2,136283004	2,054601595	1,94150426	1,947787445	2,060884781	1,985486557	1,872389222	2,04831841	1,954070631	1,998052928	2,002828149
