50	12,48	13,12	13,44	14,08	13,12	12,16	10,88	11,52	10,88	11,84	13,12	12,8	13,12	13,12	11,52	11,84	10,56	12,16	13,12	12,8	10,56	10,88	13,12	10,88	11,2	12,8	11,84	12,16	10,56	11,52	12,48	11,52	13,44	12,48	13,76	11,84	13,12	11,52	12,48	11,84	12,48	11,84	12,16	12,16	12,16	11,52	12,48	12,16	12,48	10,88	12,16
100	11,68	12,16	11,68	11,2	11,36	11,68	12,16	12,64	12	11,36	13,44	12	11,84	11,84	13,28	11,52	12,16	12	11,84	10,24	11,68	12,16	12,8	12,16	11,52	11,36	11,68	12,32	11,52	11,04	12,64	12,16	12,16	11,2	12,96	11,68	12,32	12,32	12,48	12,16	12,16	12	12	12,48	12,16	13,92	11,52	11,36	12,48	11,84	12,0064
150	12,26666667	11,41333333	11,94666667	12,16	12,8	12,8	11,84	12,05333333	11,52	13,54666667	11,73333333	11,84	10,98666667	12,05333333	12,69333333	12,16	12,37333333	12,90666667	12,48	11,62666667	12,48	11,09333333	12,16	12,37333333	11,30666667	11,84	11,84	10,77333333	11,84	12,16	11,84	11,30666667	12,05333333	10,88	11,84	12,37333333	11,73333333	11,52	11,2	11,62666667	12,58666667	11,73333333	12,26666667	11,62666667	11,30666667	12,05333333	11,73333333	11,94666667	11,41333333	12,16	11,92533333
200	11,36	12	12,16	11,04	12,64	12,32	13,04	12,16	11,68	11,52	12,4	12	12,8	11,68	11,68	13,12	11,92	11,36	12,56	11,52	12,32	12	11,84	11,68	11,92	11,6	11,84	11,76	11,52	11,6	12,32	11,76	12,16	12,48	12,48	11,6	12,48	11,28	12	11,2	11,36	12	11,76	12,16	11,68	12	12,32	11,52	12,96	11,36	11,9584
250	12,096	11,648	11,84	11,776	11,392	11,584	12,16	11,52	11,776	12,288	12,48	12,8	11,84	11,584	12,8	12,864	12,352	12,096	12,352	12,032	12,8	12,352	11,968	11,776	11,712	12,416	11,776	11,968	12,544	12,8	11,456	12,8	12,544	11,648	11,712	12,608	12,288	11,264	12,416	11,648	12,48	11,904	11,52	12,48	13,44	11,584	11,84	12,352	11,904	12,096	12,10752
300	11,78666667	12,21333333	12,64	11,73333333	12,37333333	12,21333333	11,89333333	12	11,84	11,84	11,57333333	12,69333333	11,36	11,57333333	11,25333333	12	12,32	11,09333333	12,26666667	11,73333333	11,25333333	11,73333333	12,16	12,26666667	12,58666667	12,05333333	11,78666667	12,21333333	11,52	12,32	12	12,05333333	11,68	11,68	11,89333333	11,73333333	12	12,10666667	11,09333333	12,05333333	11,78666667	12,69333333	12,42666667	12,26666667	11,41333333	12,42666667	11,62666667	11,78666667	11,2	12,26666667	11,9296
350	12,06857143	12,43428571	11,97714286	12,02285714	11,74857143	12,43428571	11,88571429	11,93142857	11,74857143	11,79428571	12,38857143	11,10857143	12,38857143	12,34285714	11,93142857	11,38285714	12,11428571	12,02285714	11,93142857	11,88571429	12,57142857	11,93142857	11,74857143	12,25142857	11,97714286	11,47428571	11,84	12,16	12,25142857	11,42857143	12,38857143	12,06857143	12,38857143	12,29714286	11,70285714	11,42857143	12,02285714	12,43428571	11,93142857	12,66285714	11,56571429	12,20571429	11,97714286	11,74857143	11,84	12,20571429	12,34285714	11,47428571	12,16	12,29714286	12,0064
400	11,76	12,28	11,76	12,48	12,68	11,44	11,96	12,28	12	11,64	12,4	11,56	12,36	11,68	12,52	12,04	12,24	12	12,16	12,08	11,76	12,44	11,2	11,4	11,76	11,88	11,92	11,76	11,68	11,88	11,88	12,72	11,44	11,76	11,2	12,04	11,16	12,4	12,48	12,4	11,92	11,72	12,32	12,32	12,36	11,48	11,72	11,92	11,8	12,24	11,9656
450	12,48	12,33777778	11,80444444	12,19555556	11,94666667	11,73333333	11,91111111	11,52	12,51555556	12,33777778	12,05333333	11,30666667	12,33777778	11,94666667	12,05333333	12,48	12,44444444	11,98222222	12,58666667	12,08888889	11,87555556	12,23111111	11,76888889	12,19555556	12,23111111	11,87555556	12,26666667	12,16	12,05333333	11,94666667	11,73333333	11,84	12,37333333	12,12444444	11,73333333	11,91111111	11,84	12,23111111	12,30222222	11,94666667	11,48444444	12,30222222	12,08888889	12,05333333	11,76888889	12,05333333	12,23111111	11,66222222	12,08888889	12,23111111	12,05333333
500	11,936	12,032	11,968	11,776	12,032	12	11,84	12,032	12,384	11,36	11,84	11,872	11,36	12,128	12,096	12,192	12,128	12,416	11,904	11,648	12,544	11,968	11,968	11,648	12,256	12,384	11,712	11,776	12,192	11,904	11,904	12,48	12,032	12,512	12	12,128	11,968	12,16	12,704	11,936	11,936	12,48	12,672	12,128	11,68	11,392	11,904	11,936	11,616	10,976	11,9968
550	12,42181818	12,13090909	11,92727273	11,63636364	11,95636364	11,57818182	12,07272727	12,59636364	11,66545455	12,13090909	12,36363636	12,30545455	12,04363636	12,36363636	12,39272727	11,84	11,66545455	11,69454545	11,28727273	11,75272727	12,21818182	11,98545455	11,37454545	12,13090909	11,78181818	11,92727273	11,92727273	12,16	12,48	12,10181818	11,60727273	11,92727273	12,56727273	12,01454545	12,07272727	11,81090909	11,95636364	11,92727273	12,13090909	11,98545455	12,16	11,81090909	12,39272727	11,98545455	12,01454545	12,07272727	11,92727273	12,42181818	12,13090909	12,07272727	12,01803636
600	12,26666667	11,92	12,24	11,89333333	11,97333333	11,65333333	11,46666667	11,44	11,89333333	12,05333333	12,72	12	11,81333333	12,26666667	12,16	12,34666667	12,10666667	11,84	12,26666667	12,13333333	11,86666667	11,73333333	12,10666667	11,89333333	11,97333333	12,21333333	12,13333333	11,92	11,33333333	11,89333333	12,32	11,86666667	11,92	11,6	11,94666667	12,42666667	12,18666667	12,26666667	12,48	12,42666667	12,24	12,18666667	12,29333333	12,02666667	12,08	12,24	11,76	11,84	12,13333333	12,08	12,0368
650	12,08615385	12,01230769	11,71692308	12,16	12,11076923	12,25846154	12,48	11,88923077	11,79076923	11,96307692	12,18461538	11,54461538	12,33230769	11,93846154	12,13538462	11,69230769	12,18461538	11,61846154	11,88923077	12,20923077	11,61846154	11,96307692	11,66769231	11,79076923	11,88923077	11,93846154	12,08615385	12,25846154	12,33230769	11,81538462	11,76615385	12,06153846	12,03692308	12,13538462	12,20923077	11,69230769	12,25846154	11,84	12,01230769	12,01230769	12,20923077	11,69230769	12,50461538	11,96307692	12,18461538	11,42153846	11,84	12,13538462	11,98769231	11,76615385	11,98572308
700	11,72571429	11,56571429	12,45714286	11,47428571	12,27428571	12,57142857	11,84	12,06857143	12,50285714	11,90857143	12,38857143	11,72571429	11,54285714	12,02285714	12,36571429	12,29714286	12,11428571	11,84	12,38857143	12,32	11,97714286	11,97714286	11,88571429	11,81714286	11,77142857	12,50285714	11,95428571	12,36571429	11,97714286	12,06857143	12	11,77142857	12	12,27428571	12,29714286	11,45142857	12,02285714	12	12,54857143	12,27428571	11,65714286	11,74857143	11,61142857	11,49714286	12	11,90857143	11,93142857	12,32	12,34285714	12,13714286	12,02971429
